Month,Location,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6,Species_7,Species_8,Species_9,Species_10
2013-09,Lake,56,11,52,93,76,,19,,6,
2013-09,River,79,45,9,75,13,,64,,,
2016-04,Lake,12,0,83,0,0,0,63,0,0,0
2016-04,River,17,,35,14,94,37,10,,34,54
2012-01,Lake,46,5,59,55,6,,35,62,65,
2012-01,River,36,88,57,61,11,,12,12,,
2017-07,Lake,100,0,46,0,0,0,61,0,0,0
2017-07,River,77,36,88,,,7,41,5,,
2011-01,Lake,5,49,28,64,17,48,34,8,,
2011-01,River,9,24,16,53,,29,77,,37,
2016-12,Lake,99,0,72,0,0,0,39,0,0,0
2016-12,River,49,94,46,,,56,89,80,3,40
2010-10,Lake,57,23,58,,4,,23,15,20,40
2010-10,River,30,41,16,,,80,33,88,33,38
2017-10,Lake,97,0,6,0,0,0,14,0,0,0
2017-10,River,42,,45,,,10,26,3,,
2013-05,Lake,44,63,3,,,58,58,57,47,32
2013-05,River,69,,88,9,11,,36,,94,
2010-12,Lake,16,40,84,90,26,,17,28,9,9
2010-12,River,57,3,8,76,77,,42,67,97,79
2010-08,Lake,100,,60,,6,,11,61,40,61
2010-08,River,14,,80,,79,70,17,84,7,12
2015-11,Lake,46,0,65,0,0,0,77,0,0,0
2015-11,River,89,48,87,,,11,18,,11,77
2011-03,Lake,51,5,11,20,,3,85,,82,21
2011-03,River,83,2,29,,,52,40,7,12,
2016-11,Lake,86,0,40,0,0,0,12,0,0,0
2016-11,River,93,17,2,,,69,93,,,
2014-01,Lake,75,46,73,48,,,13,63,82,1
2014-01,River,24,30,76,,34,55,37,,,
2018-11,Lake,88,0,27,0,0,0,10,0,0,0
2018-11,River,5,94,46,61,,,15,,,36
2013-03,Lake,20,5,55,79,33,,53,100,,
2013-03,River,59,,53,12,,91,100,,12,
2019-07,Lake,87,0,3,0,0,0,25,0,0,0
2019-07,River,1,99,10,,72,,77,9,,61
2017-03,Lake,37,0,58,0,0,0,16,0,0,0
2017-03,River,43,84,71,38,,,90,6,5,88
2012-11,Lake,8,2,69,,,,73,55,52,50
2012-11,River,32,,69,,,86,50,85,56,93
2010-06,Lake,11,61,100,,13,74,11,,,
2010-06,River,33,6,99,,9,,100,69,12,
2020-01,Lake,32,0,56,0,0,0,33,0,0,0
2020-01,River,93,73,24,,,7,18,62,,
2010-04,Lake,94,23,23,9,76,,28,97,42,
2010-04,River,79,3,54,,34,,98,69,,
2016-02,Lake,85,0,31,0,0,0,2,0,0,0
2016-02,River,48,,23,,84,,65,45,,7
2016-09,Lake,76,0,91,0,0,0,59,0,0,0
2016-09,River,44,19,33,96,,77,99,34,68,47
2013-12,Lake,68,,68,82,73,,47,17,,
2013-12,River,99,,12,50,,31,60,,98,
2020-02,Lake,7,0,19,0,0,0,96,0,0,0
2020-02,River,9,97,47,2,4,,7,,,86
2014-05,Lake,50,,59,,35,7,48,57,86,
2014-05,River,55,,53,,83,,74,,75,15
2015-07,Lake,68,0,89,0,0,0,82,0,0,0
2015-07,River,7,,7,20,43,1,35,,,
2018-09,Lake,71,0,37,0,0,0,12,0,0,0
2018-09,River,96,97,99,24,40,,88,91,56,
