"quad_uniq","n_recruit","Diff_cover"
"T02_Q03",1,2.56544635432347
"T04_Q08",1,3.97443366335136
"T04_Q11",1,2.56233174892795
"T05_Q15",1,0.17034316819263
"T05_Q23",1,2.8827458118681
"T05_Q28",2,3.83500004823069
"T06_Q01",2,2.33735812006795
"T06_Q02",2,2.31817916700809
"T06_Q03",1,4.01403985973541
"T06_Q04",1,1.76467696480411
"T06_Q06",1,2.76323960369369
"T06_Q11",2,1.90872385604556
"T06_Q12",1,2.85344823098856
"T06_Q16",1,1.67421725460621
"T06_Q18",2,3.92272129555991
"T07_Q11",1,1.8586779651334
"T07_Q15",1,1.8400949499473
"T07_Q16",1,1.25112886190943
"T07_Q18",2,4.94225892908314
"T07_Q23",1,2.79203575433131
"T08_Q03",2,2.46069986457852
"T08_Q05",4,10.8524565381874
"T08_Q20",5,7.85288526200919
"T08_Q21",2,3.02424861867082
"T08_Q23",1,0.550067226174057
"T08_Q28",1,1.58191176995548
"T08_Q29",7,17.004690463676
"T08_Q37",1,2.00206211039561
"T09_Q02",1,0.98078993307653
"T09_Q04",1,0.915718715578773
"T10_Q01",27,67.1013796830195
"T10_Q02",17,39.8059939540448
"T10_Q03",22,59.4118652937734
"T10_Q04",14,33.2789460753536
"T10_Q05",13,55.0121098184599
"T10_Q06",13,16.3090339668321
"T10_Q07",3,4.73154594000439
"T10_Q08",16,49.8027003655731
"T10_Q09",22,34.4374932832324
"T10_Q10",21,36.0452014775669
"T10_Q11",18,51.7003245603612
"T10_Q13",18,27.1444227024988
"T10_Q14",11,9.83918633679107
"T10_Q15",18,37.4195074453291
"T10_Q16",20,31.0310141186657
"T10_Q17",23,21.8589166029334
"T10_Q18",24,53.9442033332251
"T10_Q19",17,59.4859409317461
"T10_Q20",12,22.8236022251536
"T10_Q21",19,49.1160859371702
"T10_Q22",6,20.5870733033664
"T10_Q23",11,41.9176061329982
"T10_Q24",9,28.0716282944786
"T10_Q25",11,33.8028208948953
"T10_Q26",8,15.6053014005411
"T10_Q27",16,37.8948352848846
"T10_Q28",18,29.8089556182747
"T10_Q29",22,58.3671073774914
"T10_Q30",20,39.9855764067877
"T11_Q02",9,6.93147047717551
"T11_Q03",7,6.25492290622178
"T11_Q12",1,2.00002960329209
"T13_Q01",2,3.85996555516247
"T16_Q02",3,10.925434190517
"T16_Q03",1,2.76941082520189
"T16_Q05",7,22.3365336245966
"T16_Q06",7,31.9926705698455
"T16_Q07",2,1.58354520857802
"T16_Q08",10,17.9986617590935
"T16_Q10",12,37.4139904572933
"T16_Q11",8,13.2808589205598
"T16_Q12",9,16.3045701727815
"T17_Q01",6,8.59118437731566
"T17_Q02",6,10.8086267108369
"T17_Q03",7,15.6407667234845
"T17_Q04",3,8.81675127515311
"T17_Q06",6,12.0754448094104
"T17_Q07",1,3.5005417077657
"T17_Q11",3,9.18806826802622
"T17_Q12",6,24.6428585462597
"T17_Q15",1,1.72409666912229
"T17_Q17",3,7.83250013441192
"T17_Q20",1,2.5062248118212
"T17_Q21",1,0.983478497170835
"T17_Q23",11,14.026782441126
"T17_Q24",7,13.9030541864927
"T18_Q05",1,0.91787743962669
"T18_Q07",2,4.97838236154416
"T18_Q08",1,3.06800311175158
"T18_Q09",10,11.0275875836542
"T18_Q17",1,2.30144025953236
